#    L    TT             EE             BB             TE             PP             TP             EP          
   105    0.47359E+03    0.78075E+00    0.00000E+00   -0.14307E+02    0.71476E-07    0.44020E-03   -0.58714E-06
   106    0.47512E+03    0.79329E+00    0.00000E+00   -0.14453E+02    0.70987E-07    0.43491E-03   -0.55310E-06
   107    0.47633E+03    0.80554E+00    0.00000E+00   -0.14595E+02    0.70502E-07    0.42970E-03   -0.52128E-06
   108    0.47766E+03    0.81758E+00    0.00000E+00   -0.14733E+02    0.70021E-07    0.42458E-03   -0.49266E-06
   109    0.47890E+03    0.82932E+00    0.00000E+00   -0.14867E+02    0.69543E-07    0.41955E-03   -0.46819E-06
   110    0.47998E+03    0.84077E+00    0.00000E+00   -0.14996E+02    0.69069E-07    0.41460E-03   -0.44886E-06
   111    0.48097E+03    0.85201E+00    0.00000E+00   -0.15121E+02    0.68598E-07    0.40972E-03   -0.43537E-06
   112    0.48189E+03    0.86297E+00    0.00000E+00   -0.15242E+02    0.68132E-07    0.40492E-03   -0.42751E-06
   113    0.48281E+03    0.87363E+00    0.00000E+00   -0.15358E+02    0.67669E-07    0.40020E-03   -0.42481E-06
   114    0.48360E+03    0.88394E+00    0.00000E+00   -0.15469E+02    0.67210E-07    0.39556E-03   -0.42683E-06
   115    0.48440E+03    0.89404E+00    0.00000E+00   -0.15575E+02    0.66754E-07    0.39098E-03   -0.43309E-06
   116    0.48502E+03    0.90370E+00    0.00000E+00   -0.15676E+02    0.66303E-07    0.38648E-03   -0.44314E-06
   117    0.48575E+03    0.91300E+00    0.00000E+00   -0.15772E+02    0.65854E-07    0.38205E-03   -0.45652E-06
   118    0.48645E+03    0.92210E+00    0.00000E+00   -0.15863E+02    0.65410E-07    0.37769E-03   -0.47276E-06
   119    0.48698E+03    0.93084E+00    0.00000E+00   -0.15948E+02    0.64969E-07    0.37339E-03   -0.49142E-06
   120    0.48750E+03    0.93908E+00    0.00000E+00   -0.16028E+02    0.64532E-07    0.36916E-03   -0.51204E-06
   121    0.48787E+03    0.94711E+00    0.00000E+00   -0.16103E+02    0.64098E-07    0.36500E-03   -0.53414E-06
   122    0.48817E+03    0.95463E+00    0.00000E+00   -0.16172E+02    0.63668E-07    0.36090E-03   -0.55729E-06
   123    0.48841E+03    0.96173E+00    0.00000E+00   -0.16236E+02    0.63242E-07    0.35687E-03   -0.58101E-06
   124    0.48859E+03    0.96848E+00    0.00000E+00   -0.16292E+02    0.62819E-07    0.35289E-03   -0.60486E-06
   125    0.48866E+03    0.97480E+00    0.00000E+00   -0.16344E+02    0.62400E-07    0.34897E-03   -0.62836E-06
   126    0.48869E+03    0.98077E+00    0.00000E+00   -0.16390E+02    0.61985E-07    0.34512E-03   -0.65108E-06
   127    0.48862E+03    0.98624E+00    0.00000E+00   -0.16431E+02    0.61573E-07    0.34132E-03   -0.67254E-06
   128    0.48845E+03    0.99137E+00    0.00000E+00   -0.16466E+02    0.61164E-07    0.33757E-03   -0.69230E-06
   129    0.48827E+03    0.99599E+00    0.00000E+00   -0.16494E+02    0.60759E-07    0.33388E-03   -0.70989E-06
   130    0.48801E+03    0.10001E+01    0.00000E+00   -0.16517E+02    0.60358E-07    0.33024E-03   -0.72486E-06
   131    0.48769E+03    0.10039E+01    0.00000E+00   -0.16534E+02    0.59960E-07    0.32666E-03   -0.73687E-06
   132    0.48738E+03    0.10072E+01    0.00000E+00   -0.16545E+02    0.59565E-07    0.32312E-03   -0.74599E-06
   133    0.48694E+03    0.10101E+01    0.00000E+00   -0.16551E+02    0.59174E-07    0.31964E-03   -0.75244E-06
   134    0.48647E+03    0.10125E+01    0.00000E+00   -0.16549E+02    0.58787E-07    0.31620E-03   -0.75641E-06
   135    0.48598E+03    0.10145E+01    0.00000E+00   -0.16541E+02    0.58402E-07    0.31282E-03   -0.75810E-06
   136    0.48532E+03    0.10159E+01    0.00000E+00   -0.16526E+02    0.58022E-07    0.30948E-03   -0.75771E-06
   137    0.48465E+03    0.10170E+01    0.00000E+00   -0.16505E+02    0.57644E-07    0.30618E-03   -0.75544E-06
   138    0.48392E+03    0.10175E+01    0.00000E+00   -0.16477E+02    0.57270E-07    0.30294E-03   -0.75150E-06
   139    0.48298E+03    0.10177E+01    0.00000E+00   -0.16442E+02    0.56899E-07    0.29974E-03   -0.74607E-06
   140    0.48214E+03    0.10174E+01    0.00000E+00   -0.16401E+02    0.56532E-07    0.29658E-03   -0.73937E-06
   141    0.48113E+03    0.10166E+01    0.00000E+00   -0.16353E+02    0.56167E-07    0.29346E-03   -0.73158E-06
   142    0.48016E+03    0.10153E+01    0.00000E+00   -0.16299E+02    0.55806E-07    0.29039E-03   -0.72291E-06
   143    0.47917E+03    0.10137E+01    0.00000E+00   -0.16239E+02    0.55448E-07    0.28736E-03   -0.71356E-06
   144    0.47804E+03    0.10115E+01    0.00000E+00   -0.16173E+02    0.55094E-07    0.28437E-03   -0.70373E-06
   145    0.47684E+03    0.10090E+01    0.00000E+00   -0.16100E+02    0.54742E-07    0.28142E-03   -0.69361E-06
   146    0.47581E+03    0.10060E+01    0.00000E+00   -0.16021E+02    0.54393E-07    0.27851E-03   -0.68340E-06
   147    0.47451E+03    0.10026E+01    0.00000E+00   -0.15935E+02    0.54048E-07    0.27564E-03   -0.67331E-06
   148    0.47318E+03    0.99879E+00    0.00000E+00   -0.15844E+02    0.53706E-07    0.27280E-03   -0.66353E-06
   149    0.47190E+03    0.99453E+00    0.00000E+00   -0.15747E+02    0.53366E-07    0.27000E-03   -0.65426E-06
   150    0.47046E+03    0.98995E+00    0.00000E+00   -0.15642E+02    0.53030E-07    0.26724E-03   -0.64570E-06
   151    0.46902E+03    0.98496E+00    0.00000E+00   -0.15532E+02    0.52697E-07    0.26451E-03   -0.63801E-06
   152    0.46743E+03    0.97949E+00    0.00000E+00   -0.15417E+02    0.52366E-07    0.26182E-03   -0.63115E-06
   153    0.46587E+03    0.97369E+00    0.00000E+00   -0.15293E+02    0.52039E-07    0.25916E-03   -0.62508E-06
   154    0.46426E+03    0.96756E+00    0.00000E+00   -0.15165E+02    0.51714E-07    0.25653E-03   -0.61972E-06
   155    0.46261E+03    0.96110E+00    0.00000E+00   -0.15030E+02    0.51392E-07    0.25394E-03   -0.61500E-06
   156    0.46078E+03    0.95431E+00    0.00000E+00   -0.14889E+02    0.51073E-07    0.25138E-03   -0.61087E-06
   157    0.45907E+03    0.94719E+00    0.00000E+00   -0.14741E+02    0.50757E-07    0.24885E-03   -0.60725E-06
   158    0.45728E+03    0.93982E+00    0.00000E+00   -0.14587E+02    0.50444E-07    0.24635E-03   -0.60408E-06
   159    0.45541E+03    0.93204E+00    0.00000E+00   -0.14427E+02    0.50134E-07    0.24389E-03   -0.60130E-06
