#    L    TT             EE             TE             PP             TP          
   122    0.48817E+03    0.95463E+00   -0.16172E+02    0.29235E+07    0.61052E+04
   123    0.48841E+03    0.96173E+00   -0.16236E+02    0.29043E+07    0.60375E+04
   124    0.48859E+03    0.96848E+00   -0.16292E+02    0.28853E+07    0.59708E+04
   125    0.48866E+03    0.97480E+00   -0.16344E+02    0.28664E+07    0.59051E+04
   126    0.48869E+03    0.98077E+00   -0.16390E+02    0.28477E+07    0.58404E+04
   127    0.48862E+03    0.98624E+00   -0.16431E+02    0.28291E+07    0.57766E+04
   128    0.48845E+03    0.99137E+00   -0.16466E+02    0.28107E+07    0.57138E+04
   129    0.48827E+03    0.99599E+00   -0.16494E+02    0.27924E+07    0.56518E+04
   130    0.48801E+03    0.10001E+01   -0.16517E+02    0.27743E+07    0.55907E+04
   131    0.48769E+03    0.10039E+01   -0.16534E+02    0.27563E+07    0.55305E+04
   132    0.48738E+03    0.10072E+01   -0.16545E+02    0.27385E+07    0.54711E+04
   133    0.48694E+03    0.10101E+01   -0.16551E+02    0.27208E+07    0.54126E+04
   134    0.48647E+03    0.10125E+01   -0.16549E+02    0.27033E+07    0.53549E+04
   135    0.48598E+03    0.10145E+01   -0.16541E+02    0.26859E+07    0.52980E+04
   136    0.48532E+03    0.10159E+01   -0.16526E+02    0.26687E+07    0.52418E+04
   137    0.48465E+03    0.10170E+01   -0.16505E+02    0.26516E+07    0.51865E+04
   138    0.48392E+03    0.10175E+01   -0.16477E+02    0.26347E+07    0.51319E+04
   139    0.48298E+03    0.10177E+01   -0.16442E+02    0.26179E+07    0.50780E+04
   140    0.48214E+03    0.10174E+01   -0.16401E+02    0.26013E+07    0.50249E+04
   141    0.48113E+03    0.10166E+01   -0.16353E+02    0.25847E+07    0.49725E+04
   142    0.48016E+03    0.10153E+01   -0.16299E+02    0.25684E+07    0.49208E+04
   143    0.47917E+03    0.10137E+01   -0.16239E+02    0.25522E+07    0.48698E+04
   144    0.47804E+03    0.10115E+01   -0.16173E+02    0.25361E+07    0.48195E+04
   145    0.47684E+03    0.10090E+01   -0.16100E+02    0.25201E+07    0.47698E+04
   146    0.47581E+03    0.10060E+01   -0.16021E+02    0.25043E+07    0.47208E+04
   147    0.47451E+03    0.10026E+01   -0.15935E+02    0.24886E+07    0.46725E+04
   148    0.47318E+03    0.99879E+00   -0.15844E+02    0.24731E+07    0.46247E+04
   149    0.47190E+03    0.99453E+00   -0.15747E+02    0.24577E+07    0.45776E+04
   150    0.47046E+03    0.98995E+00   -0.15642E+02    0.24424E+07    0.45310E+04
   151    0.46902E+03    0.98496E+00   -0.15532E+02    0.24273E+07    0.44851E+04
   152    0.46743E+03    0.97949E+00   -0.15417E+02    0.24123E+07    0.44397E+04
   153    0.46587E+03    0.97369E+00   -0.15293E+02    0.23974E+07    0.43948E+04
   154    0.46426E+03    0.96756E+00   -0.15165E+02    0.23826E+07    0.43506E+04
   155    0.46261E+03    0.96110E+00   -0.15030E+02    0.23680E+07    0.43069E+04
   156    0.46078E+03    0.95431E+00   -0.14889E+02    0.23535E+07    0.42637E+04
   157    0.45907E+03    0.94719E+00   -0.14741E+02    0.23391E+07    0.42211E+04
   158    0.45728E+03    0.93982E+00   -0.14587E+02    0.23249E+07    0.41790E+04
   159    0.45541E+03    0.93204E+00   -0.14427E+02    0.23108E+07    0.41374E+04
   160    0.45355E+03    0.92401E+00   -0.14260E+02    0.22968E+07    0.40964E+04
   161    0.45170E+03    0.91580E+00   -0.14086E+02    0.22829E+07    0.40559E+04
   162    0.44979E+03    0.90726E+00   -0.13908E+02    0.22691E+07    0.40158E+04
   163    0.44800E+03    0.89847E+00   -0.13722E+02    0.22555E+07    0.39763E+04
   164    0.44602E+03    0.88949E+00   -0.13531E+02    0.22420E+07    0.39373E+04
   165    0.44416E+03    0.88027E+00   -0.13333E+02    0.22286E+07    0.38987E+04
   166    0.44229E+03    0.87093E+00   -0.13129E+02    0.22153E+07    0.38607E+04
   167    0.44048E+03    0.86128E+00   -0.12921E+02    0.22022E+07    0.38231E+04
   168    0.43853E+03    0.85166E+00   -0.12706E+02    0.21891E+07    0.37860E+04
   169    0.43659E+03    0.84179E+00   -0.12485E+02    0.21762E+07    0.37493E+04
   170    0.43467E+03    0.83189E+00   -0.12258E+02    0.21634E+07    0.37131E+04
   171    0.43262E+03    0.82196E+00   -0.12025E+02    0.21507E+07    0.36773E+04
   172    0.43054E+03    0.81193E+00   -0.11787E+02    0.21381E+07    0.36420E+04
   173    0.42835E+03    0.80179E+00   -0.11543E+02    0.21256E+07    0.36071E+04
   174    0.42622E+03    0.79185E+00   -0.11295E+02    0.21132E+07    0.35726E+04
   175    0.42408E+03    0.78180E+00   -0.11041E+02    0.21010E+07    0.35386E+04
   176    0.42179E+03    0.77188E+00   -0.10781E+02    0.20888E+07    0.35049E+04
   177    0.41950E+03    0.76200E+00   -0.10518E+02    0.20768E+07    0.34717E+04
   178    0.41716E+03    0.75238E+00   -0.10250E+02    0.20648E+07    0.34389E+04
   179    0.41477E+03    0.74274E+00   -0.99758E+01    0.20530E+07    0.34064E+04
   180    0.41249E+03    0.73328E+00   -0.96978E+01    0.20413E+07    0.33744E+04
   181    0.41010E+03    0.72402E+00   -0.94157E+01    0.20296E+07    0.33427E+04
   182    0.40769E+03    0.71503E+00   -0.91279E+01    0.20181E+07    0.33114E+04
   183    0.40519E+03    0.70622E+00   -0.88360E+01    0.20067E+07    0.32805E+04
   184    0.40277E+03    0.69768E+00   -0.85390E+01    0.19954E+07    0.32500E+04
   185    0.40035E+03    0.68956E+00   -0.82392E+01    0.19841E+07    0.32198E+04
   186    0.39758E+03    0.68170E+00   -0.79335E+01    0.19730E+07    0.31900E+04
   187    0.39513E+03    0.67426E+00   -0.76233E+01    0.19620E+07    0.31605E+04
   188    0.39264E+03    0.66722E+00   -0.73102E+01    0.19511E+07    0.31314E+04
   189    0.39004E+03    0.66061E+00   -0.69924E+01    0.19402E+07    0.31026E+04
   190    0.38780E+03    0.65448E+00   -0.66723E+01    0.19295E+07    0.30741E+04
   191    0.38517E+03    0.64887E+00   -0.63467E+01    0.19188E+07    0.30460E+04
   192    0.38268E+03    0.64378E+00   -0.60179E+01    0.19083E+07    0.30182E+04
   193    0.38013E+03    0.63927E+00   -0.56873E+01    0.18978E+07    0.29907E+04
   194    0.37774E+03    0.63535E+00   -0.53525E+01    0.18874E+07    0.29635E+04
   195    0.37530E+03    0.63208E+00   -0.50158E+01    0.18771E+07    0.29366E+04
   196    0.37282E+03    0.62949E+00   -0.46764E+01    0.18669E+07    0.29100E+04
   197    0.37046E+03    0.62762E+00   -0.43356E+01    0.18568E+07    0.28837E+04
   198    0.36815E+03    0.62648E+00   -0.39927E+01    0.18468E+07    0.28577E+04
   199    0.36590E+03    0.62613E+00   -0.36483E+01    0.18368E+07    0.28320E+04
   200    0.36373E+03    0.62659E+00   -0.33032E+01    0.18270E+07    0.28066E+04
   201    0.36155E+03    0.62792E+00   -0.29565E+01    0.18172E+07    0.27814E+04
   202    0.35946E+03    0.63011E+00   -0.26091E+01    0.18075E+07    0.27565E+04
   203    0.35737E+03    0.63325E+00   -0.22598E+01    0.17978E+07    0.27319E+04
   204    0.35521E+03    0.63733E+00   -0.19110E+01    0.17883E+07    0.27075E+04
   205    0.35312E+03    0.64241E+00   -0.15600E+01    0.17788E+07    0.26834E+04
   206    0.35097E+03    0.64853E+00   -0.12073E+01    0.17694E+07    0.26595E+04
   207    0.34889E+03    0.65570E+00   -0.85303E+00    0.17601E+07    0.26359E+04
   208    0.34667E+03    0.66398E+00   -0.49702E+00    0.17509E+07    0.26125E+04
   209    0.34445E+03    0.67338E+00   -0.13913E+00    0.17418E+07    0.25894E+04
   210    0.34223E+03    0.68396E+00    0.22031E+00    0.17327E+07    0.25666E+04
   211    0.34001E+03    0.69575E+00    0.58179E+00    0.17237E+07    0.25440E+04
   212    0.33764E+03    0.70877E+00    0.94491E+00    0.17147E+07    0.25216E+04
   213    0.33534E+03    0.72307E+00    0.13103E+01    0.17059E+07    0.24995E+04
   214    0.33297E+03    0.73864E+00    0.16772E+01    0.16971E+07    0.24776E+04
   215    0.33060E+03    0.75567E+00    0.20456E+01    0.16884E+07    0.24560E+04
   216    0.32816E+03    0.77398E+00    0.24165E+01    0.16797E+07    0.24345E+04
   217    0.32578E+03    0.79372E+00    0.27883E+01    0.16712E+07    0.24134E+04
   218    0.32333E+03    0.81489E+00    0.31620E+01    0.16627E+07    0.23924E+04
