#    L    TT             EE             BB             TE          
   183    0.52141E+04    0.72564E+00    0.89420E-02   -0.29548E+02
   184    0.52339E+04    0.71706E+00    0.90531E-02   -0.28654E+02
   185    0.52531E+04    0.70894E+00    0.91650E-02   -0.27735E+02
   186    0.52716E+04    0.70113E+00    0.92776E-02   -0.26789E+02
   187    0.52898E+04    0.69378E+00    0.93909E-02   -0.25818E+02
   188    0.53076E+04    0.68687E+00    0.95050E-02   -0.24822E+02
   189    0.53247E+04    0.68044E+00    0.96198E-02   -0.23801E+02
   190    0.53416E+04    0.67455E+00    0.97353E-02   -0.22757E+02
   191    0.53576E+04    0.66921E+00    0.98515E-02   -0.21687E+02
   192    0.53732E+04    0.66446E+00    0.99684E-02   -0.20593E+02
   193    0.53882E+04    0.66033E+00    0.10086E-01   -0.19477E+02
   194    0.54028E+04    0.65687E+00    0.10204E-01   -0.18336E+02
   195    0.54168E+04    0.65410E+00    0.10323E-01   -0.17173E+02
   196    0.54301E+04    0.65207E+00    0.10443E-01   -0.15987E+02
   197    0.54430E+04    0.65082E+00    0.10563E-01   -0.14780E+02
   198    0.54554E+04    0.65037E+00    0.10684E-01   -0.13551E+02
   199    0.54672E+04    0.65077E+00    0.10805E-01   -0.12300E+02
   200    0.54785E+04    0.65204E+00    0.10928E-01   -0.11029E+02
   201    0.54892E+04    0.65425E+00    0.11050E-01   -0.97371E+01
   202    0.54993E+04    0.65740E+00    0.11174E-01   -0.84252E+01
   203    0.55089E+04    0.66155E+00    0.11297E-01   -0.70929E+01
   204    0.55177E+04    0.66672E+00    0.11422E-01   -0.57433E+01
   205    0.55261E+04    0.67296E+00    0.11547E-01   -0.43741E+01
   206    0.55337E+04    0.68029E+00    0.11673E-01   -0.29866E+01
   207    0.55408E+04    0.68874E+00    0.11799E-01   -0.15813E+01
   208    0.55472E+04    0.69837E+00    0.11925E-01   -0.15869E+00
   209    0.55529E+04    0.70918E+00    0.12053E-01    0.12808E+01
   210    0.55581E+04    0.72124E+00    0.12180E-01    0.27362E+01
   211    0.55626E+04    0.73456E+00    0.12309E-01    0.42074E+01
   212    0.55664E+04    0.74918E+00    0.12437E-01    0.56935E+01
   213    0.55697E+04    0.76515E+00    0.12567E-01    0.71946E+01
   214    0.55722E+04    0.78244E+00    0.12696E-01    0.87093E+01
   215    0.55742E+04    0.80126E+00    0.12826E-01    0.10237E+02
   216    0.55755E+04    0.82141E+00    0.12957E-01    0.11778E+02
   217    0.55763E+04    0.84306E+00    0.13088E-01    0.13330E+02
   218    0.55764E+04    0.86619E+00    0.13219E-01    0.14894E+02
   219    0.55759E+04    0.89080E+00    0.13351E-01    0.16471E+02
   220    0.55748E+04    0.91706E+00    0.13483E-01    0.18055E+02
   221    0.55731E+04    0.94486E+00    0.13616E-01    0.19650E+02
   222    0.55708E+04    0.97438E+00    0.13749E-01    0.21253E+02
   223    0.55678E+04    0.10055E+01    0.13882E-01    0.22866E+02
   224    0.55643E+04    0.10383E+01    0.14015E-01    0.24485E+02
   225    0.55601E+04    0.10728E+01    0.14149E-01    0.26112E+02
   226    0.55554E+04    0.11091E+01    0.14283E-01    0.27744E+02
   227    0.55500E+04    0.11472E+01    0.14418E-01    0.29382E+02
   228    0.55440E+04    0.11871E+01    0.14553E-01    0.31025E+02
   229    0.55375E+04    0.12288E+01    0.14688E-01    0.32672E+02
   230    0.55302E+04    0.12723E+01    0.14823E-01    0.34322E+02
   231    0.55224E+04    0.13178E+01    0.14958E-01    0.35976E+02
   232    0.55140E+04    0.13650E+01    0.15094E-01    0.37632E+02
   233    0.55050E+04    0.14144E+01    0.15230E-01    0.39287E+02
   234    0.54952E+04    0.14656E+01    0.15366E-01    0.40944E+02
   235    0.54850E+04    0.15188E+01    0.15502E-01    0.42600E+02
   236    0.54741E+04    0.15740E+01    0.15638E-01    0.44256E+02
   237    0.54625E+04    0.16313E+01    0.15775E-01    0.45910E+02
   238    0.54504E+04    0.16907E+01    0.15911E-01    0.47561E+02
