#    L    TT             EE             BB             TE          
   237    0.27282E+03    0.15584E+01    0.12761E-01    0.10474E+02
   238    0.26991E+03    0.16150E+01    0.12872E-01    0.10860E+02
   239    0.26707E+03    0.16736E+01    0.12984E-01    0.11245E+02
   240    0.26406E+03    0.17341E+01    0.13096E-01    0.11628E+02
   241    0.26119E+03    0.17968E+01    0.13208E-01    0.12010E+02
   242    0.25830E+03    0.18615E+01    0.13320E-01    0.12391E+02
   243    0.25540E+03    0.19283E+01    0.13431E-01    0.12770E+02
   244    0.25248E+03    0.19971E+01    0.13543E-01    0.13148E+02
   245    0.24955E+03    0.20682E+01    0.13655E-01    0.13523E+02
   246    0.24667E+03    0.21413E+01    0.13767E-01    0.13897E+02
   247    0.24385E+03    0.22165E+01    0.13879E-01    0.14268E+02
   248    0.24101E+03    0.22941E+01    0.13991E-01    0.14636E+02
   249    0.23830E+03    0.23736E+01    0.14103E-01    0.15003E+02
   250    0.23558E+03    0.24555E+01    0.14215E-01    0.15366E+02
   251    0.23298E+03    0.25394E+01    0.14326E-01    0.15726E+02
   252    0.23028E+03    0.26256E+01    0.14438E-01    0.16084E+02
   253    0.22784E+03    0.27139E+01    0.14549E-01    0.16438E+02
   254    0.22535E+03    0.28045E+01    0.14661E-01    0.16788E+02
   255    0.22287E+03    0.28971E+01    0.14772E-01    0.17136E+02
   256    0.22048E+03    0.29922E+01    0.14883E-01    0.17481E+02
   257    0.21816E+03    0.30892E+01    0.14994E-01    0.17817E+02
   258    0.21582E+03    0.31886E+01    0.15104E-01    0.18155E+02
   259    0.21353E+03    0.32901E+01    0.15215E-01    0.18483E+02
   260    0.21136E+03    0.33939E+01    0.15325E-01    0.18815E+02
   261    0.20915E+03    0.34998E+01    0.15435E-01    0.19129E+02
   262    0.20688E+03    0.36080E+01    0.15545E-01    0.19449E+02
   263    0.20493E+03    0.37183E+01    0.15654E-01    0.19768E+02
   264    0.20283E+03    0.38309E+01    0.15763E-01    0.20078E+02
   265    0.20064E+03    0.39455E+01    0.15872E-01    0.20374E+02
   266    0.19859E+03    0.40625E+01    0.15981E-01    0.20677E+02
   267    0.19643E+03    0.41815E+01    0.16089E-01    0.20965E+02
   268    0.19432E+03    0.43027E+01    0.16197E-01    0.21256E+02
   269    0.19208E+03    0.44261E+01    0.16304E-01    0.21540E+02
   270    0.19000E+03    0.45515E+01    0.16412E-01    0.21820E+02
   271    0.18787E+03    0.46790E+01    0.16518E-01    0.22096E+02
   272    0.18587E+03    0.48088E+01    0.16625E-01    0.22360E+02
   273    0.18380E+03    0.49404E+01    0.16731E-01    0.22628E+02
   274    0.18177E+03    0.50742E+01    0.16837E-01    0.22878E+02
   275    0.17972E+03    0.52099E+01    0.16942E-01    0.23134E+02
   276    0.17777E+03    0.53477E+01    0.17047E-01    0.23374E+02
   277    0.17570E+03    0.54874E+01    0.17151E-01    0.23619E+02
