#    L    TT             EE             BB             TE          
   145    0.39492E+04    0.10478E+01    0.54333E-02   -0.42782E+02
   146    0.39801E+04    0.10450E+01    0.55148E-02   -0.42895E+02
   147    0.40108E+04    0.10418E+01    0.55971E-02   -0.42986E+02
   148    0.40413E+04    0.10381E+01    0.56802E-02   -0.43057E+02
   149    0.40718E+04    0.10341E+01    0.57641E-02   -0.43107E+02
   150    0.41021E+04    0.10296E+01    0.58488E-02   -0.43133E+02
   151    0.41322E+04    0.10248E+01    0.59344E-02   -0.43138E+02
   152    0.41621E+04    0.10195E+01    0.60208E-02   -0.43121E+02
   153    0.41920E+04    0.10138E+01    0.61080E-02   -0.43080E+02
   154    0.42216E+04    0.10078E+01    0.61961E-02   -0.43016E+02
   155    0.42511E+04    0.10014E+01    0.62850E-02   -0.42929E+02
   156    0.42803E+04    0.99469E+00    0.63748E-02   -0.42820E+02
   157    0.43094E+04    0.98763E+00    0.64654E-02   -0.42685E+02
   158    0.43384E+04    0.98031E+00    0.65569E-02   -0.42527E+02
   159    0.43670E+04    0.97256E+00    0.66492E-02   -0.42345E+02
   160    0.43955E+04    0.96454E+00    0.67424E-02   -0.42138E+02
   161    0.44238E+04    0.95633E+00    0.68364E-02   -0.41907E+02
   162    0.44519E+04    0.94776E+00    0.69313E-02   -0.41652E+02
   163    0.44799E+04    0.93893E+00    0.70271E-02   -0.41372E+02
   164    0.45074E+04    0.92990E+00    0.71238E-02   -0.41068E+02
   165    0.45349E+04    0.92060E+00    0.72213E-02   -0.40738E+02
   166    0.45621E+04    0.91118E+00    0.73196E-02   -0.40383E+02
   167    0.45892E+04    0.90141E+00    0.74189E-02   -0.40004E+02
   168    0.46158E+04    0.89167E+00    0.75190E-02   -0.39599E+02
   169    0.46422E+04    0.88165E+00    0.76199E-02   -0.39169E+02
   170    0.46684E+04    0.87159E+00    0.77217E-02   -0.38713E+02
   171    0.46941E+04    0.86147E+00    0.78244E-02   -0.38230E+02
   172    0.47196E+04    0.85124E+00    0.79279E-02   -0.37722E+02
   173    0.47446E+04    0.84087E+00    0.80323E-02   -0.37189E+02
   174    0.47693E+04    0.83069E+00    0.81375E-02   -0.36630E+02
   175    0.47938E+04    0.82037E+00    0.82436E-02   -0.36045E+02
   176    0.48177E+04    0.81016E+00    0.83505E-02   -0.35433E+02
   177    0.48414E+04    0.79997E+00    0.84582E-02   -0.34797E+02
   178    0.48646E+04    0.79003E+00    0.85667E-02   -0.34135E+02
   179    0.48874E+04    0.78003E+00    0.86761E-02   -0.33446E+02
   180    0.49100E+04    0.77021E+00    0.87863E-02   -0.32732E+02
   181    0.49321E+04    0.76056E+00    0.88973E-02   -0.31994E+02
   182    0.49538E+04    0.75114E+00    0.90091E-02   -0.31229E+02
   183    0.49750E+04    0.74190E+00    0.91217E-02   -0.30439E+02
   184    0.49958E+04    0.73290E+00    0.92351E-02   -0.29624E+02
   185    0.50163E+04    0.72429E+00    0.93493E-02   -0.28785E+02
   186    0.50360E+04    0.71593E+00    0.94642E-02   -0.27920E+02
   187    0.50556E+04    0.70796E+00    0.95799E-02   -0.27029E+02
   188    0.50747E+04    0.70037E+00    0.96964E-02   -0.26115E+02
   189    0.50933E+04    0.69318E+00    0.98136E-02   -0.25176E+02
   190    0.51117E+04    0.68645E+00    0.99316E-02   -0.24214E+02
   191    0.51293E+04    0.68021E+00    0.10050E-01   -0.23227E+02
   192    0.51465E+04    0.67447E+00    0.10170E-01   -0.22215E+02
   193    0.51632E+04    0.66928E+00    0.10290E-01   -0.21182E+02
   194    0.51796E+04    0.66467E+00    0.10411E-01   -0.20124E+02
   195    0.51954E+04    0.66067E+00    0.10532E-01   -0.19043E+02
   196    0.52107E+04    0.65733E+00    0.10654E-01   -0.17940E+02
   197    0.52255E+04    0.65467E+00    0.10777E-01   -0.16815E+02
   198    0.52399E+04    0.65274E+00    0.10901E-01   -0.15668E+02
   199    0.52538E+04    0.65155E+00    0.11025E-01   -0.14499E+02
   200    0.52672E+04    0.65115E+00    0.11150E-01   -0.13310E+02
   201    0.52800E+04    0.65158E+00    0.11276E-01   -0.12098E+02
   202    0.52924E+04    0.65287E+00    0.11402E-01   -0.10867E+02
   203    0.53042E+04    0.65505E+00    0.11529E-01   -0.96146E+01
   204    0.53154E+04    0.65817E+00    0.11656E-01   -0.83443E+01
   205    0.53261E+04    0.66225E+00    0.11784E-01   -0.70537E+01
   206    0.53361E+04    0.66733E+00    0.11913E-01   -0.57441E+01
   207    0.53457E+04    0.67345E+00    0.12042E-01   -0.44159E+01
