#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    86    0.43128E+03   -0.10954E+02    0.64902E-05   -0.10954E+02    0.51911E+00   -0.50691E-08    0.64902E-05   -0.50691E-08    0.10881E-10
    87    0.43432E+03   -0.11151E+02    0.63301E-05   -0.11151E+02    0.53328E+00   -0.57746E-08    0.63301E-05   -0.57746E-08    0.10562E-10
    88    0.43705E+03   -0.11347E+02    0.61753E-05   -0.11347E+02    0.54749E+00   -0.65058E-08    0.61753E-05   -0.65058E-08    0.10255E-10
    89    0.43984E+03   -0.11543E+02    0.60255E-05   -0.11543E+02    0.56173E+00   -0.72067E-08    0.60255E-05   -0.72067E-08    0.99587E-11
    90    0.44254E+03   -0.11736E+02    0.58804E-05   -0.11736E+02    0.57598E+00   -0.78212E-08    0.58804E-05   -0.78212E-08    0.96731E-11
    91    0.44508E+03   -0.11926E+02    0.57398E-05   -0.11926E+02    0.59021E+00   -0.83046E-08    0.57398E-05   -0.83046E-08    0.93975E-11
    92    0.44760E+03   -0.12114E+02    0.56035E-05   -0.12114E+02    0.60442E+00   -0.86559E-08    0.56035E-05   -0.86559E-08    0.91315E-11
    93    0.45013E+03   -0.12300E+02    0.54715E-05   -0.12300E+02    0.61859E+00   -0.88854E-08    0.54715E-05   -0.88854E-08    0.88748E-11
    94    0.45242E+03   -0.12483E+02    0.53435E-05   -0.12483E+02    0.63270E+00   -0.90034E-08    0.53435E-05   -0.90034E-08    0.86271E-11
    95    0.45472E+03   -0.12664E+02    0.52195E-05   -0.12664E+02    0.64675E+00   -0.90200E-08    0.52195E-05   -0.90200E-08    0.83881E-11
    96    0.45673E+03   -0.12842E+02    0.50993E-05   -0.12842E+02    0.66071E+00   -0.89455E-08    0.50993E-05   -0.89455E-08    0.81576E-11
    97    0.45889E+03   -0.13018E+02    0.49828E-05   -0.13018E+02    0.67458E+00   -0.87902E-08    0.49828E-05   -0.87902E-08    0.79352E-11
    98    0.46099E+03   -0.13190E+02    0.48700E-05   -0.13190E+02    0.68835E+00   -0.85641E-08    0.48700E-05   -0.85641E-08    0.77208E-11
    99    0.46289E+03   -0.13360E+02    0.47606E-05   -0.13360E+02    0.70198E+00   -0.82776E-08    0.47606E-05   -0.82776E-08    0.75139E-11
   100    0.46481E+03   -0.13525E+02    0.46546E-05   -0.13525E+02    0.71548E+00   -0.79410E-08    0.46546E-05   -0.79410E-08    0.73143E-11
   101    0.46661E+03   -0.13688E+02    0.45518E-05   -0.13688E+02    0.72890E+00   -0.75643E-08    0.45518E-05   -0.75643E-08    0.71217E-11
   102    0.46865E+03   -0.13848E+02    0.44521E-05   -0.13848E+02    0.74210E+00   -0.71579E-08    0.44521E-05   -0.71579E-08    0.69358E-11
   103    0.47036E+03   -0.14006E+02    0.43554E-05   -0.14006E+02    0.75516E+00   -0.67319E-08    0.43554E-05   -0.67319E-08    0.67564E-11
   104    0.47203E+03   -0.14158E+02    0.42616E-05   -0.14158E+02    0.76806E+00   -0.62966E-08    0.42616E-05   -0.62966E-08    0.65832E-11
   105    0.47359E+03   -0.14307E+02    0.41705E-05   -0.14307E+02    0.78075E+00   -0.58623E-08    0.41705E-05   -0.58623E-08    0.64158E-11
   106    0.47512E+03   -0.14453E+02    0.40820E-05   -0.14453E+02    0.79329E+00   -0.54390E-08    0.40820E-05   -0.54390E-08    0.62540E-11
   107    0.47633E+03   -0.14595E+02    0.39961E-05   -0.14595E+02    0.80554E+00   -0.50372E-08    0.39961E-05   -0.50372E-08    0.60974E-11
   108    0.47766E+03   -0.14733E+02    0.39125E-05   -0.14733E+02    0.81758E+00   -0.46669E-08    0.39125E-05   -0.46669E-08    0.59459E-11
